time,open,high,low,close,volume
1748451600000,2640.57,2658.8,2640.56,2654.07,6607.8892
1748451900000,2654.07,2657.8,2650.83,2656.5,2269.4838
1748452200000,2656.5,2662.0,2653.19,2653.19,4356.5201
1748452500000,2653.19,2664.35,2653.19,2660.29,2596.4919
1748452800000,2660.29,2661.39,2655.43,2655.43,1184.7427
1748453100000,2655.44,2655.7,2646.8,2652.81,2568.3792
1748453400000,2652.81,2653.49,2648.47,2650.53,884.487
1748453700000,2650.54,2650.54,2644.72,2647.09,2986.011
1748454000000,2647.1,2648.97,2642.59,2647.17,1324.0301
1748454300000,2647.18,2652.6,2645.69,2651.1,1163.5711
1748454600000,2651.1,2653.8,2648.41,2653.8,1173.3023
1748454900000,2653.79,2655.24,2651.82,2652.8,1751.8823
1748455200000,2652.8,2656.82,2651.2,2655.51,1474.3118
1748455500000,2655.51,2655.8,2648.17,2653.0,1047.1388
1748455800000,2652.99,2655.8,2651.51,2654.88,1188.9113
1748456100000,2654.89,2657.8,2651.68,2653.4,1544.5578
1748456400000,2653.39,2653.39,2650.3,2653.12,945.2937
1748456700000,2653.12,2653.13,2645.3,2645.4,962.5873
1748457000000,2645.4,2646.8,2641.36,2642.81,1462.7231
1748457300000,2642.81,2648.59,2642.61,2648.1,816.5623
1748457600000,2648.1,2651.91,2646.3,2650.25,579.2035
1748457900000,2650.25,2652.99,2645.9,2645.91,976.6252
1748458200000,2645.91,2648.5,2633.62,2637.41,3760.9049
1748458500000,2637.41,2639.5,2634.51,2636.17,2244.8504
1748458800000,2636.17,2645.04,2634.9,2644.81,1839.8925
1748459100000,2644.82,2652.9,2643.42,2651.39,3864.4868
1748459400000,2651.39,2655.78,2647.31,2648.99,1840.8709
1748459700000,2649.0,2653.21,2646.37,2650.7,1317.3011
1748460000000,2650.71,2651.59,2642.1,2644.9,1206.919
1748460300000,2644.89,2645.1,2638.79,2639.71,835.2892
1748460600000,2639.7,2641.3,2635.81,2640.59,1465.516
1748460900000,2640.6,2640.6,2627.0,2628.46,3951.8863
1748461200000,2628.46,2628.8,2619.71,2620.11,3547.066
1748461500000,2620.11,2624.7,2617.0,2622.67,3418.1961
1748461800000,2622.66,2624.0,2615.32,2618.62,5215.927
1748462100000,2618.62,2626.18,2617.0,2617.79,2210.7914
1748462400000,2617.8,2626.1,2615.5,2626.0,2591.5332
1748462700000,2625.99,2627.34,2619.51,2619.51,1402.4703
1748463000000,2619.5,2623.4,2617.36,2619.69,1019.0565
1748463300000,2619.7,2625.6,2619.09,2623.73,913.0763
1748463600000,2623.72,2628.4,2612.04,2626.6,7742.2857
1748463900000,2626.6,2631.3,2623.86,2629.8,1991.5163
1748464200000,2629.81,2630.95,2623.11,2630.39,1015.2512
1748464500000,2630.39,2633.52,2630.15,2632.49,1325.7177
1748464800000,2632.49,2634.05,2631.7,2631.71,419.5435
1748465100000,2631.7,2635.38,2630.81,2631.94,402.7722
1748465400000,2631.94,2632.03,2626.26,2628.52,781.2418
1748465700000,2628.52,2635.25,2627.33,2634.43,812.5485
1748466000000,2634.43,2634.74,2631.0,2631.15,593.2161
1748466300000,2631.16,2635.05,2631.15,2634.9,579.8824
1748466600000,2634.91,2639.8,2634.51,2639.48,759.9362
1748466900000,2639.47,2643.73,2638.59,2643.45,1580.4584
1748467200000,2643.46,2648.5,2643.45,2647.53,892.6188
1748467500000,2647.52,2647.97,2639.66,2640.61,1012.7427
1748467800000,2640.6,2644.48,2640.49,2644.12,536.0016
1748468100000,2644.12,2645.94,2640.81,2645.94,490.5362
1748468400000,2645.93,2647.18,2642.9,2647.17,428.4884
1748468700000,2647.18,2648.96,2645.58,2646.78,714.9974
1748469000000,2646.79,2659.36,2646.79,2653.96,2187.5414
1748469300000,2653.97,2653.97,2648.32,2652.25,1076.0506
1748469600000,2652.25,2653.09,2648.85,2650.83,1604.5135
1748469900000,2650.82,2650.83,2646.0,2647.51,1258.3978
1748470200000,2647.51,2648.15,2642.57,2646.78,1177.4995
1748470500000,2646.78,2646.99,2642.85,2646.59,1107.8186
1748470800000,2646.6,2646.82,2643.89,2643.89,1050.7395
1748471100000,2643.9,2643.9,2638.96,2639.75,988.2419
1748471400000,2639.76,2642.0,2638.0,2639.39,1046.5688
1748471700000,2639.4,2645.37,2639.38,2645.37,760.675
1748472000000,2645.37,2646.22,2643.75,2644.94,816.44
1748472300000,2644.95,2644.95,2639.34,2644.52,781.6804
1748472600000,2644.53,2649.0,2644.53,2648.53,986.9351
1748472900000,2648.52,2650.37,2648.18,2648.61,759.2129
1748473200000,2648.61,2653.24,2648.49,2652.82,866.6462
1748473500000,2652.83,2664.17,2652.61,2662.0,3585.9395
1748473800000,2661.99,2673.3,2661.99,2673.03,2963.5519
1748474100000,2673.03,2679.9,2668.7,2671.78,4855.8995
1748474400000,2671.78,2672.33,2667.08,2667.49,1572.1
1748474700000,2667.49,2679.5,2664.16,2677.8,3797.594
1748475000000,2677.8,2686.4,2676.08,2676.19,4266.3936
1748475300000,2676.18,2679.64,2673.99,2675.73,1550.5163
1748475600000,2675.72,2682.58,2675.72,2676.9,2374.8517
1748475900000,2676.9,2677.17,2670.75,2672.14,2493.216
1748476200000,2672.15,2678.9,2671.9,2677.51,1618.2442
1748476500000,2677.51,2683.52,2677.51,2681.6,1608.7334
1748476800000,2681.61,2685.85,2669.01,2677.4,5995.93
1748477100000,2677.4,2680.98,2673.0,2674.31,2658.2502
1748477400000,2674.3,2679.93,2671.02,2679.93,2542.6796
1748477700000,2679.92,2686.7,2675.97,2683.8,3788.2701
1748478000000,2683.8,2697.96,2683.4,2694.0,7753.6586
1748478300000,2694.0,2705.0,2693.83,2702.6,8164.0415
1748478600000,2702.6,2705.3,2696.0,2698.29,3992.3987
1748478900000,2698.29,2706.47,2697.79,2701.99,3843.0562
1748479200000,2702.0,2709.55,2701.61,2702.43,3705.7797
1748479500000,2702.42,2712.0,2702.37,2710.92,3928.6241
1748479800000,2710.91,2714.21,2706.77,2713.89,2694.3102
1748480100000,2713.9,2721.5,2711.61,2721.5,5500.2655
1748480400000,2721.5,2722.5,2704.72,2708.81,6147.503
1748480700000,2708.81,2714.94,2706.33,2707.57,2463.0326
1748481000000,2707.58,2715.73,2706.45,2710.95,2629.7222
1748481300000,2710.95,2717.98,2706.76,2712.24,4575.5932
1748481600000,2712.24,2719.85,2711.0,2711.19,2269.068
1748481900000,2711.18,2711.2,2706.47,2708.0,2376.2697
